county,fips,cand,st,pct_report,votes,total_votes,pct,lead
NA,US,Donald Trump,US,0.9951,60350241,127592176,0.472993274,Donald Trump
NA,US,Hillary Clinton,US,0.9951,60981118,127592176,0.477937754,Donald Trump
NA,US,Gary Johnson,US,0.9951,4164589,127592176,0.032639846,Donald Trump
NA,US,Jill Stein,US,0.9951,1255968,127592176,0.009843613,Donald Trump
NA,US,Evan McMullin,US,0.9951,451636,127592176,0.003539684,Donald Trump
NA,US,Darrell Castle,US,0.9951,180877,127592176,0.001417618,Donald Trump
NA,US,Gloria La Riva,US,0.9951,48308,127592176,0.000378613,Donald Trump
NA,US,Rocky De La Fuente,US,0.9951,32120,127592176,0.00025174,Donald Trump
NA,US, None of these candidates,US,0.9951,28824,127592176,0.000225907,Donald Trump
NA,US,Richard Duncan,US,0.9951,23501,127592176,0.000184188,Donald Trump
NA,US,Dan Vacek,US,0.9951,13546,127592176,0.000106166,Donald Trump
NA,US,Alyson Kennedy,US,0.9951,11456,127592176,8.98E-05,Donald Trump
NA,US,Mike Smith,US,0.9951,8911,127592176,6.98E-05,Donald Trump
NA,US,Chris Keniston,US,0.9951,6617,127592176,5.19E-05,Donald Trump
NA,US,Lynn Kahn,US,0.9951,5565,127592176,4.36E-05,Donald Trump
NA,US,Jim Hedges,US,0.9951,5525,127592176,4.33E-05,Donald Trump
NA,US,Monica Moorehead,US,0.9951,3878,127592176,3.04E-05,Donald Trump
NA,US,Peter Skewes,US,0.9951,3221,127592176,2.52E-05,Donald Trump
NA,US,Emidio Soltysik,US,0.9951,2471,127592176,1.94E-05,Donald Trump
NA,US,Scott Copeland,US,0.9951,2347,127592176,1.84E-05,Donald Trump
NA,US,Tom Hoefling,US,0.9951,2222,127592176,1.74E-05,Donald Trump
NA,US,Rocky Giordani,US,0.9951,2185,127592176,1.71E-05,Donald Trump
NA,US,Laurence Kotlikoff,US,0.9951,1407,127592176,1.10E-05,Donald Trump
NA,US,Kyle Kopitke,US,0.9951,1001,127592176,7.85E-06,Donald Trump
NA,US,Joseph Maldonado,US,0.9951,780,127592176,6.11E-06,Donald Trump
NA,US,Michael Maturen,US,0.9951,757,127592176,5.93E-06,Donald Trump
NA,US,Princess Jacob,US,0.9951,748,127592176,5.86E-06,Donald Trump
NA,US,Ryan Scott,US,0.9951,687,127592176,5.38E-06,Donald Trump
NA,US,Rod Silva,US,0.9951,654,127592176,5.13E-06,Donald Trump
NA,US,Jerry White,US,0.9951,369,127592176,2.89E-06,Donald Trump
NA,US,Bradford Lyttle,US,0.9951,337,127592176,2.64E-06,Donald Trump
NA,US,Frank Atwood,US,0.9951,310,127592176,2.43E-06,Donald Trump
