state,income
Maryland,75847
Hawaii,73486
Alaska,73355
New Jersey,72222
Connecticut,71346
Massachusetts,70628
New Hampshire,70303
Virginia,66262
California,64500
Washington,64129
Colorado,63909
Minnesota,63488
Utah,62912
Delaware,61255
New York,60850
North Dakota,60557
Wyoming,60214
Illinois,59588
Rhode Island,58073
Vermont,56990
Pennsylvania,55702
Texas,55653
Wisconsin,55638
Nebraska,54996
Iowa,54736
Oregon,54148
Kansas,53906
South Dakota,53017
Nevada,52431
Maine,51494
Arizona,51492
Georgia,51244
Michigan,51084
Ohio,51075
Indiana,50532
Missouri,50238
Montana,49509
Florida,49426
Oklahoma,48568
Idaho,48275
North Carolina,47830
Tennessee,47275
South Carolina,47238
Louisiana,45727
New Mexico,45382
Kentucky,45215
Alabama,44765
West Virginia,42019
Arkansas,41995
Mississippi,40593
