State,public,private
Alabama ,50668,4710
Alaska ,9651,220
Arizona ,84854,3030
Arkansas ,32385,1800
California ,492835,36930
Colorado ,65317,2790
Connecticut ,40321,7140
Delaware ,8782,1180
District of Columbia ,3867,1500
Florida ,192877,22770
Georgia ,109345,11630
Hawaii ,10741,3510
Idaho ,20087,640
Illinois ,147993,16800
Indiana ,74952,7130
Iowa ,36387,2580
Kansas ,33667,2550
Kentucky ,44659,4520
Louisiana ,41790,11420
Maine ,14028,2700
Maryland ,58493,9130
Massachusetts ,70997,9270
Michigan ,114700,10960
Minnesota ,69441,4430
Mississippi ,29561,2700
Missouri ,64475,8540
Montana ,9756,400
Nebraska ,23549,2460
Nevada ,32122,1240
New Hampshire ,13947,2430
New Jersey ,97602,14320
New Mexico ,21106,1440
New York ,189562,35600
North Carolina ,99258,7490
North Dakota ,7459,370
Ohio ,119952,12920
Oklahoma ,42088,1570
Oregon ,48735,3470
Pennsylvania ,129921,19640
Rhode Island ,10752,1460
South Carolina ,46909,3130
South Dakota ,8616,380
Tennessee ,68585,6040
Texas ,323708,16540
Utah ,43828,1490
Vermont ,6271,1080
Virginia ,90391,7150
Washington ,89258,5650
West Virginia ,18432,850
Wisconsin ,66253,5540
Wyoming ,6299,30
