State,Number
Alabama,403
Alaska,79
Arizona,738
Arkansas,372
California,2550
Colorado,393
Connecticut,389
Delaware,41
District of Columbia,35
Florida,674
Georgia,449
Hawaii,52
Idaho,218
Illinois,888
Indiana,464
Iowa,360
Kansas,341
Kentucky,484
Louisiana,276
Maine,146
Maryland,243
Massachusetts,377
Michigan,833
Minnesota,854
Mississippi,332
Missouri,632
Montana,333
Nebraska,309
Nevada,128
New Hampshire,110
New Jersey,538
New Mexico,238
New York,1131
North Carolina,536
North Dakota,183
Ohio,1008
Oklahoma,564
Oregon,273
Pennsylvania,782
Rhode Island,75
South Carolina,287
South Dakota,246
Tennessee,378
Texas,2089
Utah,285
Vermont,67
Virginia,436
Washington,640
West Virginia,120
Wisconsin,559
Wyoming,102
